Trait Domain,Category ID,Category Name,Field ID,Field Name,Column Codes,Type,Notes,Covariates adjusted,N,Prevalence,h2,SE,,Female N,Prev in Female,Female h2,Female SE,Male N,Prev in Male,Male h2,Male SE,,SES Quantile 0-12/36,SES Quantile 1/36-13/36,SES Quantile 2/36-14/36,SES Quantile 3/36-15/36,SES Quantile 4/36-16/36,SES Quantile 5/36-17/36,SES Quantile 6/36-18/36,SES Quantile 7/36-19/36,SES Quantile 8/36-20/36,SES Quantile 9/36-21/36,SES Quantile 10/36-22/36,SES Quantile 11/36-23/36,SES Quantile 12/36-24/36,SES Quantile 13/36-25/36,SES Quantile 14/36-26/36,SES Quantile 15/36-27/36,SES Quantile 16/36-28/36,SES Quantile 17/36-29/36,SES Quantile 18/36-30/36,SES Quantile 19/36-31/36,SES Quantile 20/36-32/36,SES Quantile 21/36-33/36,SES Quantile 22/36-34/36,SES Quantile 23/36-35/36,SES Quantile 24/36-1
Physical Measures,100009,Impedance measures,23114,Leg predicted mass (right),23114-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array, handedness, weight",106217,NA,0.2290,0.0038,,56237,NA,0.2885,0.0071,49980,NA,0.2634,0.0080,,0.2238,0.2220,0.2006,0.2057,0.2212,0.2321,0.2186,0.2253,0.2158,0.2226,0.2225,0.2258,0.2293,0.2257,0.2176,0.2175,0.2121,0.2180,0.2066,0.1973,0.1988,0.1918,0.1884,0.1957,0.1955
Physical Measures,100009,Impedance measures,23115,Leg fat percentage (left),23115-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array, handedness",106294,NA,0.2499,0.0038,,56248,NA,0.2369,0.0071,50046,NA,0.2519,0.0079,,0.2236,0.2122,0.2106,0.2113,0.2164,0.2181,0.2197,0.2144,0.2184,0.2234,0.2376,0.2445,0.2434,0.2486,0.2475,0.2696,0.2757,0.2777,0.2893,0.2639,0.2443,0.2360,0.2450,0.2323,0.2473
Physical Measures,100009,Impedance measures,23118,Leg predicted mass (left),23118-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array, handedness, weight",106211,NA,0.1985,0.0038,,56232,NA,0.2902,0.0071,49979,NA,0.2385,0.0080,,0.1883,0.1808,0.1690,0.1770,0.1871,0.2005,0.1917,0.1994,0.1910,0.1966,0.2041,0.1994,0.2021,0.1951,0.1881,0.1893,0.1845,0.1935,0.1821,0.1747,0.1735,0.1672,0.1598,0.1660,0.1629
Physical Measures,100009,Impedance measures,23119,Arm fat percentage (right),23119-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array, handedness",106288,NA,0.2434,0.0038,,56244,NA,0.2558,0.0071,50044,NA,0.2591,0.0079,,0.2158,0.2159,0.2161,0.2142,0.2182,0.2193,0.2198,0.2165,0.2183,0.2080,0.2130,0.2186,0.2208,0.2279,0.2411,0.2589,0.2613,0.2599,0.2659,0.2531,0.2384,0.2318,0.2424,0.2226,0.2426
Physical Measures,100009,Impedance measures,23122,Arm predicted mass (right),23122-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array, handedness, weight",106207,NA,0.2140,0.0038,,56223,NA,0.3185,0.0071,49984,NA,0.2876,0.0080,,0.2173,0.2208,0.2158,0.2094,0.2120,0.2195,0.2135,0.2165,0.2100,0.2123,0.2191,0.2026,0.1906,0.2049,0.2051,0.2171,0.2100,0.1956,0.1951,0.1895,0.1852,0.1779,0.1748,0.1703,0.1768
Physical Measures,100009,Impedance measures,23123,Arm fat percentage (left),23123-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array, handedness",106270,NA,0.2442,0.0038,,56234,NA,0.2520,0.0071,50036,NA,0.2516,0.0079,,0.2197,0.2161,0.2154,0.2119,0.2158,0.2197,0.2199,0.2185,0.2209,0.2132,0.2197,0.2221,0.2237,0.2329,0.2433,0.2642,0.2662,0.2657,0.2710,0.2560,0.2373,0.2305,0.2407,0.2219,0.2412
Physical Measures,100009,Impedance measures,23126,Arm predicted mass (left),23126-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array, handedness, weight",106188,NA,0.2183,0.0038,,56214,NA,0.3012,0.0071,49974,NA,0.2788,0.0080,,0.2254,0.2305,0.2225,0.2169,0.2193,0.2360,0.2370,0.2388,0.2274,0.2338,0.2367,0.2102,0.2002,0.2148,0.2074,0.2178,0.2152,0.2011,0.2007,0.1904,0.1919,0.1865,0.1815,0.1747,0.1895
Physical Measures,100009,Impedance measures,23127,Trunk fat percentage,23127-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array",106258,NA,0.2361,0.0038,,56225,NA,0.2429,0.0071,50033,NA,0.2472,0.0079,,0.2270,0.2225,0.2134,0.2116,0.2161,0.2154,0.2141,0.2122,0.2096,0.2096,0.2133,0.2128,0.2177,0.2236,0.2266,0.2424,0.2503,0.2562,0.2638,0.2508,0.2298,0.2226,0.2384,0.2247,0.2387
Physical Measures,100009,Impedance measures,23130,Trunk predicted mass,23130-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array, weight",106157,NA,0.3252,0.0038,,56197,NA,0.3388,0.0071,49960,NA,0.3765,0.0080,,0.3068,0.3105,0.3099,0.3067,0.3115,0.3284,0.3289,0.3294,0.3180,0.3286,0.3363,0.3232,0.3172,0.3292,0.3110,0.3143,0.3174,0.3078,0.3072,0.3033,0.3004,0.2939,0.2807,0.2726,0.2848
Physical Measures,100010,Body size measures,48,Waist circumference,48-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array, standing height, weight",107779,NA,0.1552,0.0038,,56983,NA,0.2339,0.0070,50796,NA,0.1186,0.0078,,0.1450,0.1516,0.1702,0.1526,0.1604,0.1654,0.1674,0.1719,0.1774,0.1898,0.2018,0.1718,0.1811,0.1834,0.1646,0.1507,0.1393,0.1285,0.1248,0.1264,0.1358,0.1236,0.1205,0.1274,0.1283
Physical Measures,100010,Body size measures,49,Hip circumference,49-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array, standing height, weight",107672,NA,0.1062,0.0038,,56890,NA,0.1338,0.0070,50782,NA,0.1371,0.0078,,0.1082,0.1048,0.0959,0.0971,0.0913,0.0829,0.0948,0.1136,0.1098,0.1153,0.1028,0.1069,0.1047,0.0858,0.0962,0.0944,0.1052,0.1084,0.1021,0.1020,0.1074,0.1069,0.0976,0.0945,0.0986
Physical Measures,100010,Body size measures,50,Standing height,50-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array",107976,NA,0.6846,0.0038,,57064,NA,0.6812,0.0070,50912,NA,0.6561,0.0078,,0.6458,0.6198,0.6178,0.6080,0.6056,0.6044,0.5867,0.5899,0.5804,0.5920,0.6009,0.6096,0.6236,0.6232,0.6298,0.6347,0.6333,0.6582,0.6691,0.6880,0.6915,0.6774,0.6691,0.6685,0.6901
Physical Measures,100010,Body size measures,20015,Sitting height,20015-0.0,continuous,seated height - seating box height = sitting height,"assessment center, age, sex, top 10 PCs, genotyping array, standing height",107847,NA,0.2613,0.0038,,57003,NA,0.2462,0.0070,50844,NA,0.2746,0.0078,,0.2573,0.2593,0.2540,0.2526,0.2461,0.2489,0.2366,0.2658,0.2450,0.2612,0.2545,0.2481,0.2385,0.2325,0.2289,0.2304,0.2279,0.2237,0.2266,0.2298,0.2396,0.2374,0.2411,0.2469,0.2373
Physical Measures,100010,Body size measures,21001,Body mass index (BMI),21001-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array",107760,NA,0.2739,0.0038,,56935,NA,0.2571,0.0070,50825,NA,0.2773,0.0078,,0.2455,0.2462,0.2393,0.2357,0.2390,0.2515,0.2511,0.2571,0.2567,0.2478,0.2613,0.2648,0.2649,0.2708,0.2862,0.3147,0.3106,0.3139,0.3239,0.2955,0.2796,0.2706,0.2672,0.2621,0.2769
Physical Measures,100010,Body size measures,21002,Weight,21002-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array, standing height",107810,NA,0.2774,0.0038,,57001,NA,0.2670,0.0070,50809,NA,0.2688,0.0078,,0.2542,0.2544,0.2451,0.2375,0.2384,0.2547,0.2530,0.2556,0.2496,0.2403,0.2544,0.2597,0.2612,0.2665,0.2826,0.3107,0.3048,0.3079,0.3184,0.2894,0.2779,0.2706,0.2723,0.2617,0.2809
Physical Measures,100011,Blood pressure,102,"Pulse rate, automated reading","102-0.0, 102-0.1",continuous,average 2 reads,"assessment center, age, sex, top 10 PCs, genotyping array",98328,NA,0.1615,0.0041,,51767,NA,0.1731,0.0077,46561,NA,0.1496,0.0085,,0.1752,0.1807,0.1815,0.1829,0.1827,0.1740,0.1679,0.1762,0.1735,0.1640,0.1572,0.1592,0.1527,0.1534,0.1464,0.1483,0.1505,0.1408,0.1298,0.1296,0.1292,0.1315,0.1503,0.1504,0.1517
Physical Measures,100011,Blood pressure,4079,"Diastolic blood pressure, automated reading","4079-0.0, 4079-0.1",continuous,average 2 reads,"assessment center, age, sex, top 10 PCs, genotyping array",98350,NA,0.1841,0.0041,,51773,NA,0.2223,0.0077,46577,NA,0.1468,0.0085,,0.1575,0.1711,0.1707,0.1736,0.1845,0.1877,0.1914,0.1949,0.2005,0.2101,0.2139,0.2163,0.2047,0.1983,0.2026,0.1777,0.1695,0.1661,0.1557,0.1545,0.1453,0.1412,0.1306,0.1373,0.1458
Physical Measures,100011,Blood pressure,4080,"Systolic blood pressure, automated reading","4080-0.0, 4080-0.1",continuous,average 2 reads,"assessment center, age, sex, top 10 PCs, genotyping array",98347,NA,0.1560,0.0041,,51771,NA,0.1811,0.0077,46576,NA,0.1250,0.0085,,0.1568,0.1493,0.1541,0.1613,0.1656,0.1627,0.1584,0.1682,0.1629,0.1617,0.1636,0.1722,0.1722,0.1825,0.1847,0.1804,0.1780,0.1785,0.1734,0.1587,0.1522,0.1440,0.1311,0.1116,0.1128
Physical Measures,100015,Intraocular pressure,5254,"Intra-ocular pressure, corneal-compensated (right)",5254-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array",22038,NA,0.1971,0.0180,,11461,NA,0.2158,0.0345,10577,NA,0.1897,0.0375,,0.1177,0.1265,0.1322,0.1596,0.1280,0.1169,0.0728,0.1512,0.1584,0.1302,0.1009,0.1368,0.1527,0.1899,0.1584,0.1199,0.1670,0.2017,0.1901,0.2051,0.2288,0.2192,0.2800,0.2725,0.2992
Physical Measures,100015,Intraocular pressure,5255,"Intra-ocular pressure, Goldmann-correlated (right)",5255-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array",22034,NA,0.2621,0.0180,,11459,NA,0.3202,0.0345,10575,NA,0.2343,0.0375,,0.2364,0.2714,0.2646,0.2743,0.2460,0.2012,0.1766,0.2060,0.1875,0.2084,0.2201,0.2290,0.2521,0.2004,0.1860,0.1903,0.2167,0.2478,0.2752,0.2886,0.2975,0.2807,0.3396,0.3582,0.3989
Physical Measures,100015,Intraocular pressure,5256,Corneal hysteresis (right),5256-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array",22023,NA,0.2022,0.0180,,11461,NA,0.2095,0.0345,10562,NA,0.2481,0.0375,,0.2200,0.2336,0.2181,0.2070,0.1710,0.2231,0.1899,0.2248,0.2110,0.2232,0.1851,0.1884,0.1833,0.2080,0.2130,0.1712,0.1783,0.2126,0.2141,0.2057,0.1948,0.1596,0.1709,0.1564,0.1932
Physical Measures,100015,Intraocular pressure,5257,Corneal resistance factor (right),5257-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array",22016,NA,0.2672,0.0180,,11459,NA,0.3087,0.0345,10557,NA,0.3023,0.0375,,0.3072,0.3342,0.3038,0.2738,0.2555,0.2919,0.2782,0.2606,0.2406,0.2978,0.2791,0.2722,0.2833,0.2266,0.2467,0.2377,0.2210,0.2565,0.2789,0.2699,0.2437,0.2115,0.2412,0.2577,0.3056
Physical Measures,100015,Intraocular pressure,5262,"Intra-ocular pressure, corneal-compensated (left)",5262-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array",21953,NA,0.2044,0.0180,,11398,NA,0.2835,0.0347,10555,NA,0.1640,0.0375,,0.1391,0.1372,0.1106,0.1068,0.1030,0.1021,0.1112,0.1160,0.1254,0.1241,0.1162,0.0936,0.1306,0.1669,0.1952,0.1875,0.2619,0.2558,0.2185,0.2282,0.2199,0.2103,0.2382,0.2296,0.2472
Physical Measures,100015,Intraocular pressure,5263,"Intra-ocular pressure, Goldmann-correlated (left)",5263-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array",21949,NA,0.2767,0.0180,,11398,NA,0.3473,0.0347,10551,NA,0.2640,0.0375,,0.2669,0.2967,0.2444,0.2348,0.2199,0.2335,0.2341,0.1988,0.1793,0.1753,0.1739,0.1677,0.2295,0.1881,0.2053,0.2145,0.2793,0.3042,0.2968,0.2973,0.3026,0.3001,0.3380,0.3510,0.3833
Physical Measures,100015,Intraocular pressure,5264,Corneal hysteresis (left),5264-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array",21955,NA,0.1791,0.0180,,11408,NA,0.1632,0.0347,10547,NA,0.1511,0.0376,,0.2019,0.2131,0.1774,0.1318,0.1571,0.1887,0.1799,0.1853,0.1646,0.1626,0.1321,0.1326,0.0937,0.1327,0.1763,0.2138,0.2287,0.2043,0.2196,0.1842,0.1257,0.1142,0.1145,0.0989,0.1279
Physical Measures,100015,Intraocular pressure,5265,Corneal resistance factor (left),5265-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array",21949,NA,0.2422,0.0180,,11408,NA,0.2478,0.0347,10541,NA,0.2238,0.0376,,0.2850,0.2998,0.2532,0.2266,0.2340,0.2675,0.2656,0.2577,0.2366,0.2459,0.2323,0.2412,0.2030,0.1702,0.2149,0.2579,0.2782,0.2931,0.3212,0.2715,0.2324,0.2235,0.2364,0.2226,0.2520
Physical Measures,100017,Visual acuity,5201,"logMAR, final (right)",5201-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array",22711,NA,0.0211,0.0174,,11857,NA,0.0427,0.0333,10854,NA,0.0000,0.0365,,0.0000,0.0043,0.0000,0.0189,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0198,0.0108,0.0360,0.0217,0.0013,0.0642,0.0274,0.0573,0.0656,0.0502,0.0640,0.0790,0.0770
Physical Measures,100017,Visual acuity,5208,"logMAR, final (left)",5208-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array",22702,NA,0.0348,0.0174,,11847,NA,0.0248,0.0333,10855,NA,0.0108,0.0365,,0.0000,0.0087,0.0508,0.0054,0.0394,0.0508,0.0360,0.0573,0.0608,0.0431,0.0299,0.0382,0.0193,0.0509,0.0505,0.0561,0.0253,0.0520,0.0632,0.0744,0.0751,0.0213,0.0195,0.0125,0.0011
Physical Measures,100018,Bone-densitometry of heel,78,"Heel bone mineral density (BMD) T-score, automated",78-0.0,continuous,exclude Field 3082 Fractured heel,"assessment center, age, sex, top 10 PCs, genotyping array",62578,NA,0.3231,0.0064,,33218,NA,0.3634,0.0119,29360,NA,0.3306,0.0135,,0.3080,0.3058,0.2949,0.3070,0.3204,0.3135,0.3132,0.2970,0.2995,0.2981,0.2985,0.2828,0.2794,0.3058,0.3048,0.3115,0.3263,0.3481,0.3646,0.3759,0.3837,0.3782,0.3701,0.3568,0.3279
Physical Measures,100018,Bone-densitometry of heel,3148,Heel bone mineral density (BMD),3148-0.0,continuous,exclude Field 3082 Fractured heel,"assessment center, age, sex, top 10 PCs, genotyping array",62546,NA,0.3272,0.0064,,33217,NA,0.3638,0.0119,29329,NA,0.3389,0.0135,,0.3154,0.3123,0.2988,0.3132,0.3232,0.3161,0.3177,0.2993,0.3026,0.2996,0.3000,0.2871,0.2826,0.3090,0.3086,0.3148,0.3282,0.3486,0.3649,0.3765,0.3867,0.3767,0.3698,0.3553,0.3257
Physical Measures,100018,Bone-densitometry of heel,4105,Heel bone mineral density (BMD) (left),4105-0.0,continuous,exclude Field 4093 Fractured heel (left),"assessment center, age, sex, top 10 PCs, genotyping array, handedness",33433,NA,0.3232,0.0119,,17598,NA,0.3390,0.0225,15835,NA,0.3688,0.0250,,0.3255,0.2659,0.3069,0.2961,0.3144,0.2979,0.2712,0.2794,0.3054,0.2965,0.3315,0.3642,0.3056,0.3439,0.3327,0.3657,0.3573,0.3615,0.3287,0.3164,0.3326,0.3042,0.2895,0.2846,0.3072
Physical Measures,100018,Bone-densitometry of heel,4106,"Heel bone mineral density (BMD) T-score, automated (left)",4106-0.0,continuous,exclude Field 4093 Fractured heel (left),"assessment center, age, sex, top 10 PCs, genotyping array, handedness",33450,NA,0.3190,0.0118,,17599,NA,0.3388,0.0225,15851,NA,0.3606,0.0250,,0.3257,0.2684,0.3122,0.2980,0.3162,0.2963,0.2707,0.2776,0.3030,0.2934,0.3278,0.3598,0.3004,0.3480,0.3353,0.3690,0.3594,0.3653,0.3291,0.3109,0.3199,0.2952,0.2813,0.2780,0.2997
Physical Measures,100018,Bone-densitometry of heel,4124,Heel bone mineral density (BMD) (right),4124-0.0,continuous,exclude Field 4096 Fractured heel (right),"assessment center, age, sex, top 10 PCs, genotyping array, handedness",33421,NA,0.3191,0.0119,,17604,NA,0.3557,0.0225,15817,NA,0.3366,0.0250,,0.3086,0.2491,0.2853,0.2800,0.3006,0.2816,0.2685,0.2738,0.2903,0.2941,0.3397,0.3682,0.3336,0.3816,0.3622,0.3906,0.3512,0.3508,0.3409,0.3268,0.3438,0.3282,0.3023,0.2849,0.2992
Physical Measures,100018,Bone-densitometry of heel,4125,"Heel bone mineral density (BMD) T-score, automated (right)",4125-0.0,continuous,exclude Field 4096 Fractured heel (right),"assessment center, age, sex, top 10 PCs, genotyping array, handedness",33440,NA,0.3134,0.0119,,17607,NA,0.3541,0.0225,15833,NA,0.3229,0.0250,,0.3102,0.2526,0.2834,0.2743,0.2940,0.2797,0.2723,0.2722,0.2867,0.2868,0.3326,0.3550,0.3147,0.3736,0.3596,0.3843,0.3484,0.3486,0.3344,0.3203,0.3381,0.3261,0.2989,0.2849,0.2902
Physical Measures,100019,Hand grip strength,46,Hand grip strength (left),46-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array, handedness, weight",107445,NA,0.1430,0.0038,,56766,NA,0.1470,0.0070,50679,NA,0.1491,0.0078,,0.1384,0.1372,0.1415,0.1299,0.1359,0.1360,0.1511,0.1394,0.1421,0.1487,0.1507,0.1378,0.1346,0.1273,0.1361,0.1381,0.1368,0.1313,0.1382,0.1390,0.1359,0.1341,0.1226,0.1185,0.1356
Physical Measures,100019,Hand grip strength,47,Hand grip strength (right),47-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array, handedness, weight",107450,NA,0.1438,0.0038,,56786,NA,0.1478,0.0070,50664,NA,0.1447,0.0078,,0.1322,0.1446,0.1453,0.1349,0.1316,0.1216,0.1249,0.1286,0.1302,0.1313,0.1367,0.1349,0.1368,0.1321,0.1306,0.1292,0.1275,0.1292,0.1310,0.1392,0.1419,0.1403,0.1326,0.1295,0.1399
Physical Measures,100020,Spirometry,20150,"Forced expiratory volume in 1-second (FEV1), Best measure",20150-0.0,continuous,"exclude Field 3088, 3089, 3090, 3159","assessment center, age, sex, top 10 PCs, genotyping array",84305,NA,0.3244,0.0048,,44055,NA,0.3137,0.0090,40250,NA,0.3516,0.0098,,0.3244,0.3253,0.3286,0.3400,0.3185,0.2945,0.2879,0.2658,0.2657,0.2828,0.2906,0.2902,0.2875,0.3086,0.3077,0.3285,0.3545,0.3631,0.3722,0.3512,0.3363,0.3419,0.3397,0.3222,0.3238
Physical Measures,100020,Spirometry,20151,"Forced vital capacity (FVC), Best measure",20151-0.0,continuous,"exclude Field 3088, 3089, 3090, 3159","assessment center, age, sex, top 10 PCs, genotyping array",84301,NA,0.3386,0.0048,,44055,NA,0.3220,0.0090,40246,NA,0.3657,0.0098,,0.3318,0.3261,0.3160,0.3213,0.3134,0.2880,0.2838,0.2760,0.2805,0.2924,0.3049,0.3108,0.3069,0.3295,0.3281,0.3307,0.3517,0.3747,0.3811,0.3555,0.3469,0.3491,0.3534,0.3294,0.3489
Cognitive Function,100027,Fluid intelligence test,20016,Fluid intelligence score,20016-0.0,continuous,,"assessment center, age, sex, top 10 PCs, genotyping array",34491,NA,0.2327,0.0115,,18058,NA,0.2774,0.0219,16433,NA,0.2251,0.0241,,0.2597,0.2268,0.2285,0.2559,0.2955,0.2881,0.2770,0.2931,0.2455,0.2631,0.2518,0.2636,0.2569,0.2438,0.2326,0.2214,0.2280,0.2500,0.2279,0.2047,0.1991,0.1862,0.2123,0.2067,0.2515
Cognitive Function,100029,Numeric memory test,4282,Maximum digits remembered correctly,4282-0.0,continuous,exclude participants abandoning the test,"assessment center, age, sex, top 10 PCs, genotyping array",11366,NA,0.1515,0.0349,,5986,NA,0.1911,0.0663,5380,NA,0.1643,0.0736,,0.0425,0.0588,0.0312,0.0722,0.1666,0.1922,0.1502,0.1632,0.1606,0.2079,0.2376,0.2355,0.1838,0.1907,0.1681,0.1462,0.1187,0.2274,0.1997,0.1403,0.0486,0.0379,0.0032,0.0000,0.1118
Cognitive Function,100030,Pairs matching test,399,Number of incorrect matches in round,399-0.1~399-0.3,continuous,total number of mistakes in two rounds,"assessment center, age, sex, top 10 PCs, genotyping array",107815,NA,0.0643,0.0038,,57001,NA,0.0584,0.0070,50814,NA,0.0723,0.0078,,0.0529,0.0576,0.0628,0.0805,0.0738,0.0733,0.0713,0.0597,0.0659,0.0548,0.0549,0.0628,0.0619,0.0634,0.0533,0.0595,0.0565,0.0607,0.0612,0.0744,0.0575,0.0613,0.0639,0.0701,0.0734
